station_code,station_latitude,station_longitude,NS,EW,PGA
EHM001,33.9788,133.5494,3.268,3.312,3.289926443
EHM002,33.9211,133.3079,1.392,1.037,1.201459113
EHM003,33.9253,133.0844,5.821,6.023,5.921138657
EHM004,34.0627,132.9986,6.157,5.903,6.028662455
EHM005,33.7973,132.9144,3.055,3.399,3.222412916
EHM006,33.6412,133.008,1.819,1.695,1.755905749
EHM007,33.9616,132.7719,4.023,5.512,4.709010087
EHM008,33.8199,132.7282,7.145,5.341,6.177495042
EHM009,33.6333,132.7965,4.03,3.878,3.953269533
EHM010,33.4511,132.6881,6.378,4.928,5.606316438
EHM011,33.4498,132.4341,11.265,8.147,9.579976775
EHM012,33.2217,132.5724,6.489,6.513,6.500988925
EHM013,33.3917,132.114,2.548,3.281,2.891364384
EHM014,32.9451,132.5042,13.409,12.421,12.90554877
EHM015,33.6094,132.4768,3.236,6.144,4.458921843
EHM016,33.7654,132.7089,7.024,7.105,7.064383908
FKO001,33.8425,130.5087,4.682,4.368,4.522275533
FKO002,33.8253,130.7058,7.793,7.086,7.431096689
FKO003,33.8324,130.9013,2.174,3.322,2.687383114
FKO004,33.7366,131.0121,5.92,5.235,5.566974043
FKO005,33.652,130.6965,4.694,2.914,3.698420744
FKO007,33.5614,130.2024,2.435,2.597,2.514695807
FKO008,33.5712,130.8546,5.177,5.776,5.468304308
FKO009,33.4954,130.5164,2.832,2.563,2.694144762
FKO010,33.4236,130.6691,2.164,2.303,2.23241842
FKO011,33.3237,130.5118,12.117,10.558,11.31067133
FKO012,33.332,130.794,4.262,5.047,4.637921302
FKO013,33.2254,130.5608,7.794,6.653,7.200936189
FKO014,33.1496,130.8183,3.725,7.662,5.342373068
FKO015,33.1629,130.4052,18.23,15.858,17.00268626
FKO016,33.0159,130.4472,4.436,5.168,4.788031746
HRS003,34.8138,132.8427,1.688,1.806,1.746003436
HRS004,34.7263,132.2773,1.11,1.324,1.212287095
HRS005,34.7774,133.2803,1.172,1.478,1.316136771
HRS006,34.6666,132.408,1.189,1.41,1.29479342
HRS007,34.7029,133.0886,1.092,1.085,1.088494373
HRS008,34.6029,132.7201,2.331,3.401,2.815622666
HRS009,34.4927,132.2802,2.448,2.419,2.433456801
HRS010,34.5834,133.0515,1.231,1.332,1.280504588
HRS012,34.4274,132.7422,2.673,2.433,2.550178229
HRS013,34.3768,132.4502,7.85,4.572,5.990843012
HRS014,34.2864,132.2765,5.766,7.054,6.377567248
HRS015,34.4852,133.3619,3.446,2.535,2.955606537
HRS016,34.4201,133.1979,1.257,1.371,1.312763116
HRS018,34.3413,132.9069,14.607,13.4,13.99048963
HRS019,34.253,132.5617,8.338,5.891,7.008506118
HRS020,34.2936,133.1776,1.919,2.287,2.094935083
HYG016,34.7553,134.39,3.303,2.191,2.690143676
KGS001,32.1947,130.1763,5.644,6.032,5.834775745
KGS002,32.0916,130.3519,5.343,6.396,5.84583852
KGS003,32.0559,130.5874,15.007,13.418,14.19027575
KGS004,32.0145,130.1927,8.221,9.609,8.887946276
KGS005,31.9006,130.4513,9.45,10.095,9.767177177
KGS006,31.906,130.7021,9.544,11.502,10.47736074
KGS007,31.8143,130.3032,21.491,14.745,17.80125824
KGS008,31.7638,130.5659,36.748,33.93,35.31089973
KGS009,31.7368,130.7613,27.861,41.569,34.03166039
KGS010,31.7123,130.2735,10.886,14.062,12.3725071
KGS011,31.5896,130.349,16.029,12.821,14.33554355
KGS012,31.6057,130.574,9.26,10.408,9.817233826
KGS013,31.5973,130.9938,23.596,20.481,21.98339546
KGS014,31.4963,130.6994,30.106,30.38,30.2426897
KGS015,31.4308,131.0109,47.436,42.216,44.74995169
KGS016,31.4162,130.3225,6.593,7.614,7.085132462
KGS017,31.3954,130.8702,32.772,31.569,32.16487631
KGS018,31.3757,130.5449,28.16,32.062,30.04772737
KGS019,31.2776,130.3008,3.731,3.589,3.659311274
KGS020,31.2396,130.4915,12.919,13.677,13.29259805
KGS021,31.2535,130.6324,16.434,17.873,17.13840372
KGS022,31.2804,131.0504,13.726,14.193,13.95754699
KGS023,31.199,130.849,29.405,23.104,26.06478697
KGS024,31.0888,130.6982,17.141,21.989,19.41425891
KGS025,30.7319,130.9977,3.348,2.898,3.114884268
KGS026,30.5199,130.9553,5.352,3.826,4.525124529
KGS027,30.3488,130.8829,2.951,2.997,2.973911061
KGS028,30.4204,130.5771,1.651,1.562,1.605883557
KGS029,30.2363,130.5553,2.034,2.543,2.274304729
KGS036,31.836,129.8678,4.608,6.431,5.443716378
KGW003,34.2644,133.7896,1.778,2.118,1.940567958
KGW004,34.3473,134.0375,4.262,3.568,3.899591774
KGW005,34.1139,133.6353,4.74,4.361,4.54655254
KGW006,34.2499,134.1856,1.106,1.636,1.345145345
KMM001,33.1211,131.0689,6.203,9.229,7.56620691
KMM002,33.0189,130.6846,12.572,12.598,12.58499329
KMM003,32.9335,130.5477,9.491,8.049,8.740312294
KMM004,32.9318,131.1203,15.303,24.434,19.33684312
KMM005,32.8761,130.8771,13.636,12.097,12.84346885
KMM006,32.7934,130.7772,14.685,14.045,14.36143534
KMM007,32.8268,131.1224,31.697,36.943,34.21961822
KMM008,32.6875,130.6598,24.918,25.683,25.29760846
KMM009,32.6864,130.9886,28.238,18.977,23.14892062
KMM010,32.6134,130.4873,15.594,21.335,18.24001069
KMM011,32.6166,130.8635,27.152,26.247,26.69566527
KMM012,32.5099,130.5908,14.616,18.993,16.66138314
KMM013,32.3644,130.5089,5.437,7.114,6.219229695
KMM014,32.3961,130.8273,16.79,11.868,14.11608019
KMM015,32.2161,130.4059,12.494,13.191,12.8377706
KMM016,32.1965,130.7757,26.49,21.808,24.03526409
KMM017,32.2567,130.9245,20.49,28.611,24.21238092
KMM019,32.4548,130.1807,2.269,2.088,2.176619397
KMM020,32.3636,130.1807,2.389,2.843,2.606132575
KMM021,32.3793,129.9996,3.924,4.869,4.371036033
KMM022,32.1945,130.027,4.621,3.47,4.004356378
KOC001,33.5277,134.2808,1.394,1.979,1.660941299
KOC002,33.2946,134.1666,2.128,2.742,2.415569498
KOC003,33.5014,133.9071,2.479,2.721,2.597182897
KOC004,33.6975,133.8764,1.537,1.613,1.574541521
KOC007,33.5612,133.5273,5.436,4.319,4.845418867
KOC009,33.5736,133.172,1.428,1.629,1.525192447
KOC010,33.3929,133.2852,2.11,1.938,2.0221721
KOC011,33.3982,132.8962,2.95,3.549,3.235668401
KOC012,33.1976,132.9758,4.143,3.386,3.745423608
KOC013,33.0797,133.1023,9.5,14.488,11.73183703
KOC014,32.9897,132.9403,8.712,11.133,9.848385451
KOC015,32.9393,132.7258,33.05,29.417,31.18063261
KOC016,32.7359,132.9754,2.767,3.254,3.000636266
KOC017,33.7844,133.7298,1.179,1.134,1.156281108
MIE008,34.6291,136.1074,0.613,1.181,0.850854277
MYZ001,32.705,131.3086,26.091,29.615,27.79721146
MYZ002,32.6978,131.6833,37.833,46.784,42.07111921
MYZ003,32.5659,131.6602,80.696,39.821,56.68681871
MYZ004,32.3888,131.3338,10.958,24.763,16.47279436
MYZ005,32.4286,131.6009,22.775,19.93,21.30506395
MYZ006,32.2564,131.5609,83.451,70.64,76.77876425
MYZ007,32.2351,131.1155,10.438,10.957,10.69435206
MYZ008,32.1056,131.3931,101.301,96.233,98.73448806
MYZ009,32.0461,130.8115,29.156,29.102,29.12898749
MYZ010,31.9968,130.9722,13.146,23.552,17.59586861
MYZ011,31.9951,131.2559,51.448,51.841,51.64412617
MYZ012,31.8723,131.0684,53.534,97.934,72.40717337
MYZ013,31.9086,131.4188,144.437,128.712,136.3479928
MYZ014,31.8457,131.307,58.266,61.26,59.74424792
MYZ015,31.7182,131.0624,36.143,40.984,38.48746175
MYZ016,31.6131,131.3745,51.32,63.717,57.18353294
MYZ017,31.4639,131.2281,84.696,55.307,68.44181231
MYZ018,31.3987,131.3054,39.187,39.254,39.22048569
MYZ019,32.5008,131.4444,13.783,14.564,14.16811956
MYZ020,32.4557,131.1472,29.349,29.645,29.49662871
NGS001,33.3617,129.5377,1.976,2.209,2.089254412
NGS002,33.3442,129.7056,6.239,4.235,5.140249508
NGS003,33.2016,129.4124,1.386,1.453,1.419104647
NGS005,33.037,129.9173,1.91,2.605,2.230594091
NGS008,32.9233,130.1846,1.868,1.496,1.671684181
NGS009,32.8457,130.0216,2.55,1.958,2.234479805
NGS010,32.7351,129.8765,1.651,1.508,1.577880857
NGS011,32.7843,130.2023,6.443,4.711,5.509353229
NGS012,32.7883,130.3463,6.249,5.766,6.002643917
NGS013,32.581,129.7597,1.292,1.182,1.235776679
NGS014,32.6104,130.1851,14.233,15.474,14.84053375
NGS019,32.9003,129.9583,4.286,3.421,3.829152125
OIT002,33.5691,131.2675,5.897,5.834,5.865415416
OIT003,33.5575,131.446,5.829,6.379,6.097802145
OIT004,33.5659,131.7316,10.124,7.641,8.795310341
OIT005,33.4524,131.1142,1.906,1.852,1.878806004
OIT006,33.4211,131.3173,2.87,2.883,2.876492656
OIT007,33.4169,131.6142,7.006,6.892,6.948766221
OIT008,33.2548,131.0197,4.586,4.217,4.397631408
OIT009,33.2568,131.3443,31.372,30.87,31.11998779
OIT010,33.2317,131.5934,28.532,29.777,29.14785351
OIT011,33.2468,131.8816,13.359,15.077,14.19202745
OIT012,33.0666,131.3729,10.773,17.996,13.92375337
OIT013,33.0727,131.5934,6.176,7.709,6.900056811
OIT014,33.0656,131.8588,17.719,12.539,14.90565467
OIT015,32.9733,131.3998,20.219,17.588,18.85767144
OIT016,32.9748,131.903,31.96,31.898,31.92898495
OIT017,32.8579,131.6576,7.105,6.121,6.594672471
OIT018,32.798,131.9255,10.889,14.367,12.50768816
OKY012,34.5897,133.754,1.968,2.162,2.062720534
OKY013,34.5094,133.509,1.195,1.378,1.283241988
OSK003,34.7668,135.4684,1.297,1.375,1.335430642
OSK008,34.4404,135.3918,1.422,0.72,1.011849791
SAG001,33.5274,129.8772,1.124,1.589,1.336426579
SAG002,33.4228,129.9192,1.311,1.588,1.442867977
SAG004,33.2649,129.8813,1.5,1.416,1.457394936
SAG006,33.1917,130.0317,2.975,1.709,2.254833697
SAG007,33.2626,130.3005,7.725,9.028,8.351125673
SAG008,33.1041,130.0998,2.662,2.471,2.564722597
SMN002,35.4713,133.0681,2.619,2.664,2.641404172
SMN005,35.3608,132.7449,5.244,6.711,5.932325345
SMN006,35.1908,132.4981,2.306,1.608,1.925629248
SMN008,34.8521,132.5308,1.389,2.067,1.69442114
SMN012,34.3551,131.9354,1.377,1.958,1.642000609
SMN013,34.6696,131.8461,1.44,1.727,1.576984464
SMN014,34.4668,131.7747,1.289,1.567,1.421218843
TKS001,34.2034,134.6096,1.979,1.201,1.541680577
TKS002,34.0439,134.582,2.236,2.301,2.26826718
TKS003,33.8716,134.604,1.493,1.887,1.678478776
TKS004,33.775,134.5907,1.962,1.441,1.681440454
TKS006,33.6689,134.4191,1.5,1.667,1.581296936
TKS007,34.0903,134.2854,1.69,1.597,1.64284205
TKS008,33.9341,134.2113,2.102,2.271,2.184866586
TKS012,34.0317,133.8064,1.333,1.808,1.552438083
TTR002,35.4859,134.2201,2.172,2.599,2.375926767
TTR004,35.4606,134.0548,1.435,1.659,1.542940375
TTR008,35.4259,133.3301,4.241,4.246,4.243499264
WKY006,33.9146,135.1639,1.689,1.639,1.663812189
YMG001,34.6172,131.6022,2.808,3.725,3.234161406
YMG002,34.4077,131.3986,3.407,3.91,3.649845202
YMG003,34.383,131.5999,1.244,1.482,1.357795272
YMG006,34.1487,130.9299,1.831,1.34,1.566377988
YMG008,34.0119,131.4099,1.516,1.755,1.631128444
YMG009,34.2315,131.8175,1.609,1.295,1.443487097
YMG010,34.2303,131.9819,1.339,1.428,1.382784148
YMG011,34.0643,131.0213,2.482,3.87,3.099248296
YMG012,33.9943,131.2179,6.087,5.2,5.626046569
YMG013,34.0313,131.5342,6.782,6.448,6.612891652
YMG014,34.0542,131.8077,4.009,4.84,4.404947219
YMG015,34.0966,132.0761,3.799,5.639,4.628451253
YMG016,34.1703,132.1764,4.953,5.377,5.160647343
YMG017,33.9649,132.1011,9.774,9.116,9.439268192
YMG018,33.9091,132.3559,12.232,7.829,9.785924995
YMG019,33.8454,132.1204,1.841,2.044,1.939846386
